city,year,riyadh_temp,year,global_temp,Riyadh MA,Global MA
Riyadh,1843,24.74,1843,8.17,,
Riyadh,1844,15.45,1844,7.65,,
Riyadh,1845,20.82,1845,7.85,,
Riyadh,1846,,1846,8.55,,
Riyadh,1847,,1847,8.09,,
Riyadh,1848,24.56,1848,7.98,,
Riyadh,1849,24.8,1849,7.98,,
Riyadh,1850,24.34,1850,7.9,22.45166667,8.02125
Riyadh,1851,25.03,1851,8.18,22.5,8.0225
Riyadh,1852,24.85,1852,8.1,24.06666667,8.07875
Riyadh,1853,24.93,1853,8.04,24.75166667,8.1025
Riyadh,1854,24.72,1854,8.21,24.74714286,8.06
Riyadh,1855,24.92,1855,8.11,24.76875,8.0625
Riyadh,1856,24.57,1856,8,24.77,8.065
Riyadh,1857,24.26,1857,7.76,24.7025,8.0375
Riyadh,1858,25.01,1858,8.1,24.78625,8.0625
Riyadh,1859,24.95,1859,8.25,24.77625,8.07125
Riyadh,1860,24.94,1860,7.96,24.7875,8.05375
Riyadh,1861,24.13,1861,7.85,24.6875,8.03
Riyadh,1862,23.77,1862,7.56,24.56875,7.94875
Riyadh,1863,24.28,1863,8.11,24.48875,7.94875
Riyadh,1864,25.03,1864,7.98,24.54625,7.94625
Riyadh,1865,25.23,1865,8.18,24.6675,7.99875
Riyadh,1866,24.92,1866,8.29,24.65625,8.0225
Riyadh,1867,25.22,1867,8.44,24.69,8.04625
Riyadh,1868,25,1868,8.25,24.6975,8.0825
Riyadh,1869,25.3,1869,8.43,24.84375,8.155
Riyadh,1870,25.02,1870,8.2,25,8.235
Riyadh,1871,24.73,1871,8.12,25.05625,8.23625
Riyadh,1872,24.87,1872,8.19,25.03625,8.2625
Riyadh,1873,25.24,1873,8.35,25.0375,8.28375
Riyadh,1874,24.98,1874,8.43,25.045,8.30125
Riyadh,1875,24.43,1875,7.86,24.94625,8.22875
Riyadh,1876,24.89,1876,8.08,24.9325,8.2075
Riyadh,1877,25.47,1877,8.54,24.95375,8.22125
Riyadh,1878,25.51,1878,8.83,25.015,8.3
Riyadh,1879,25.24,1879,8.17,25.07875,8.30625
Riyadh,1880,24.8,1880,8.12,25.07,8.2975
Riyadh,1881,25.63,1881,8.27,25.11875,8.2875
Riyadh,1882,24.66,1882,8.13,25.07875,8.25
Riyadh,1883,25.19,1883,7.98,25.17375,8.265
